name,printed_name,mana_cost,cmc,type_line,printed_type_line,oracle_text,printed_text,power,toughness,loyalty,colors
Cabal Torturer,Cabal Torturer,1BB,3.0,Creature — Human Minion,Creature — Human Minion,"{B}, {T}: Target creature gets -1/-1 until end of turn.
Threshold — {3}{B}{B}, {T}: Target creature gets -2/-2 until end of turn. Activate only if seven or more cards are in your graveyard.","{B}, {T}: Target creature gets -1/-1 until end of turn.
Threshold — {3}{B}{B}, {T}: Target creature gets -2/-2 until end of turn. Activate only if seven or more cards are in your graveyard.",1,1,,B
Seal of Cleansing,Seal of Cleansing,1W,2.0,Enchantment,Enchantment,Sacrifice this enchantment: Destroy target artifact or enchantment.,Sacrifice this enchantment: Destroy target artifact or enchantment.,,,,W
Phyrexian Gargantua,Phyrexian Gargantua,4BB,6.0,Creature — Phyrexian Horror,Creature — Phyrexian Horror,"When this creature enters, you draw two cards and you lose 2 life.","When this creature enters, you draw two cards and you lose 2 life.",4,4,,B
Ruination,Ruination,3R,4.0,Sorcery,Sorcery,Destroy all nonbasic lands.,Destroy all nonbasic lands.,,,,R
Centaur Garden,Centaur Garden,,0.0,Land,Land,"{T}: Add {G}. This land deals 1 damage to you.
Threshold — {G}, {T}, Sacrifice this land: Target creature gets +3/+3 until end of turn. Activate only if seven or more cards are in your graveyard.","{T}: Add {G}. This land deals 1 damage to you.
Threshold — {G}, {T}, Sacrifice this land: Target creature gets +3/+3 until end of turn. Activate only if seven or more cards are in your graveyard.",,,,L
Mage il-Vec,Mage il-Vec,2R,3.0,Creature — Human Wizard,Creature — Human Wizard,"{T}, Discard a card at random: This creature deals 1 damage to any target.","{T}, Discard a card at random: This creature deals 1 damage to any target.",2,2,,R
Tel-Jilad Archers,Tel-Jilad Archers,4G,5.0,Creature — Elf Archer,Creature — Elf Archer,Protection from artifacts; reach (This creature can block creatures with flying.),Protection from artifacts; reach (This creature can block creatures with flying.),2,4,,G
Shaleskin Plower,Shaleskin Plower,3R,4.0,Creature — Beast,Creature — Beast,"Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, destroy target land.","Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, destroy target land.",3,2,,R
Lowland Tracker,Lowland Tracker,4W,5.0,Creature — Human Soldier,Creature — Human Soldier,"First strike
Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)","First strike
Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)",2,2,,W
Sleeper's Guile,Sleeper's Guile,2B,3.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.","Enchant creature
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.",,,,B
Second Thoughts,Second Thoughts,4W,5.0,Instant,Instant,"Exile target attacking creature.
Draw a card.","Exile target attacking creature.
Draw a card.",,,,W
Flaming Sword,Flaming Sword,1R,2.0,Enchantment — Aura,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature gets +1/+0 and has first strike.","Flash
Enchant creature
Enchanted creature gets +1/+0 and has first strike.",,,,R
Thran Turbine,Thran Turbine,1,1.0,Artifact,Artifact,"At the beginning of your upkeep, you may add {C}{C}. You can't spend this mana to cast spells.","At the beginning of your upkeep, you may add {C}{C}. You can't spend this mana to cast spells.",,,,N
Backfire,Backfire,U,1.0,Enchantment — Aura,Enchantment — Aura,"Enchant creature
Whenever enchanted creature deals damage to you, this Aura deals that much damage to that creature's controller.","Enchant creature
Whenever enchanted creature deals damage to you, this Aura deals that much damage to that creature's controller.",,,,U
Scapegoat,Scapegoat,W,1.0,Instant,Instant,"As an additional cost to cast this spell, sacrifice a creature.
Return any number of target creatures you control to their owner's hand.","As an additional cost to cast this spell, sacrifice a creature.
Return any number of target creatures you control to their owner's hand.",,,,W
Brassclaw Orcs,Brassclaw Orcs,2R,3.0,Creature — Orc,Creature — Orc,This creature can't block creatures with power 2 or greater.,This creature can't block creatures with power 2 or greater.,3,2,,R
Relic Bind,Relic Bind,2U,3.0,Enchantment — Aura,Enchantment — Aura,"Enchant artifact an opponent controls
Whenever enchanted artifact becomes tapped, choose one —
• This Aura deals 1 damage to target player or planeswalker.
• Target player gains 1 life.","Enchant artifact an opponent controls
Whenever enchanted artifact becomes tapped, choose one —
• This Aura deals 1 damage to target player or planeswalker.
• Target player gains 1 life.",,,,U
Dauthi Warlord,Dauthi Warlord,1B,2.0,Creature — Dauthi Soldier,Creature — Dauthi Soldier,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Dauthi Warlord's power is equal to the number of creatures on the battlefield with shadow.","Shadow (This creature can block or be blocked by only creatures with shadow.)
Dauthi Warlord's power is equal to the number of creatures on the battlefield with shadow.",*,1,,B
Shepherd of Rot,Shepherd of Rot,1B,2.0,Creature — Zombie Cleric,Creature — Zombie Cleric,{T}: Each player loses 1 life for each Zombie on the battlefield.,{T}: Each player loses 1 life for each Zombie on the battlefield.,1,1,,B
Time Warp,Time Warp,3UU,5.0,Sorcery,Sorcery,Target player takes an extra turn after this one.,Target player takes an extra turn after this one.,,,,U
Basking Rootwalla,Basking Rootwalla,G,1.0,Creature — Lizard,Creature — Lizard,"{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.
Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)","{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.
Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",1,1,,G
Equipoise,Equipoise,2W,3.0,Enchantment,Enchantment,"At the beginning of your upkeep, for each land target player controls in excess of the number you control, choose a land that player controls, then the chosen permanents phase out. Repeat this process for artifacts and creatures. (While they're phased out, they're treated as though they don't exist. They phase in before that player untaps during their next untap step.)","At the beginning of your upkeep, for each land target player controls in excess of the number you control, choose a land that player controls, then the chosen permanents phase out. Repeat this process for artifacts and creatures. (While they're phased out, they're treated as though they don't exist. They phase in before that player untaps during their next untap step.)",,,,W
Dralnu's Pet,Dralnu's Pet,1UU,3.0,Creature — Shapeshifter,Creature — Shapeshifter,"Kicker—{2}{B}, Discard a creature card. (You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)
If this creature was kicked, it enters with flying and with X +1/+1 counters on it, where X is the discarded card's mana value.","Kicker—{2}{B}, Discard a creature card. (You may pay {2}{B} and discard a creature card in addition to any other costs as you cast this spell.)
If this creature was kicked, it enters with flying and with X +1/+1 counters on it, where X is the discarded card's mana value.",2,2,,U
Myr Incubator,Myr Incubator,6,6.0,Artifact,Artifact,"{6}, {T}, Sacrifice this artifact: Search your library for any number of artifact cards, exile them, then create that many 1/1 colorless Myr artifact creature tokens. Then shuffle.","{6}, {T}, Sacrifice this artifact: Search your library for any number of artifact cards, exile them, then create that many 1/1 colorless Myr artifact creature tokens. Then shuffle.",,,,N
Clear the Land,Clear the Land,2G,3.0,Sorcery,Sorcery,"Each player reveals the top five cards of their library, puts all land cards revealed this way onto the battlefield tapped, and exiles the rest.","Each player reveals the top five cards of their library, puts all land cards revealed this way onto the battlefield tapped, and exiles the rest.",,,,G
Wood Sage,Wood Sage,GU,2.0,Creature — Human Druid,Creature — Human Druid,{T}: Choose a creature card name. Reveal the top four cards of your library and put all of them with that name into your hand. Put the rest into your graveyard.,{T}: Choose a creature card name. Reveal the top four cards of your library and put all of them with that name into your hand. Put the rest into your graveyard.,1,1,,Z
Rune of Protection: Lands,Rune of Protection: Lands,1W,2.0,Enchantment,Enchantment,"{W}: The next time a land source of your choice would deal damage to you this turn, prevent that damage.
Cycling {2} ({2}, Discard this card: Draw a card.)","{W}: The next time a land source of your choice would deal damage to you this turn, prevent that damage.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,W
Metathran Elite,Metathran Elite,1UU,3.0,Creature — Metathran Soldier,Creature — Metathran Soldier,This creature can't be blocked as long as it's enchanted.,This creature can't be blocked as long as it's enchanted.,2,3,,U
Canopy Claws,Canopy Claws,G,1.0,Instant,Instant,"Target creature loses flying until end of turn.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","Target creature loses flying until end of turn.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,G
Burning Cloak,Burning Cloak,R,1.0,Sorcery,Sorcery,Target creature gets +2/+0 until end of turn. Burning Cloak deals 2 damage to that creature.,Target creature gets +2/+0 until end of turn. Burning Cloak deals 2 damage to that creature.,,,,R
Rhystic Study,Rhystic Study,2U,3.0,Enchantment,Enchantment,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.","Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.",,,,U
Saprazzan Breaker,Saprazzan Breaker,4U,5.0,Creature — Beast,Creature — Beast,"{U}: Mill a card. If a land card was milled this way, this creature can't be blocked this turn.","{U}: Mill a card. If a land card was milled this way, this creature can't be blocked this turn.",3,3,,U
