eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Crazed Armodon,,,2GG,4.0,G,Creature — Elephant,,3/3,3,3,,{G}: This creature gets +3/+0 and gains trample until end of turn. Destroy this creature at the beginning of the next end step. Activate only once each turn.,,,,
Peace of Mind,,,1W,2.0,W,Enchantment,,,,,,"{W}, Discard a card: You gain 3 life.",,,,
Chamber of Manipulation,,,2UU,4.0,U,Enchantment — Aura,,,,,,"Enchant land
Enchanted land has ""{T}, Discard a card: Gain control of target creature until end of turn.""",,,,
Acridian,,,1G,2.0,G,Creature — Insect,,2/4,2,4,,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",,,,
Rebuild,,,2U,3.0,U,Instant,,,,,,"Return all artifacts to their owners' hands.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Icatian Store,,,,0.0,L,Land,,,,,,"This land enters tapped.
You may choose not to untap this land during your untap step.
At the beginning of your upkeep, if this land is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from this land: Add {W} for each storage counter removed this way.",,,,
Dark Privilege,,,1B,2.0,B,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +1/+1.
Sacrifice a creature: Regenerate enchanted creature.",,,,
Breakthrough,,,XU,1.0,U,Sorcery,,,,,,"Draw four cards, then choose X cards in your hand and discard the rest.",,,,
Mystic Enforcer,,,2GW,4.0,Z,Creature — Human Nomad Mystic,,3/3,3,3,,"Protection from black
Threshold — As long as seven or more cards are in your graveyard, this creature gets +3/+3 and has flying.",,,,
Psychotic Haze,,,2BB,4.0,B,Instant,,,,,,"Psychotic Haze deals 1 damage to each creature and each player.
Madness {1}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",,,,
Dance of Many,,,UU,2.0,U,Enchantment,,,,,,"When this enchantment enters, create a token that's a copy of target nontoken creature.
When this enchantment leaves the battlefield, exile the token.
When the token leaves the battlefield, sacrifice this enchantment.
At the beginning of your upkeep, sacrifice this enchantment unless you pay {U}{U}.",,,,
Cephalid Pathmage,,,2U,3.0,U,Creature — Octopus Wizard,,1/2,1,2,,"This creature can't be blocked.
{T}, Sacrifice this creature: Target creature can't be blocked this turn.",,,,
Phyrexian Prowler,,,3B,4.0,B,Creature — Phyrexian Zombie Mercenary,,3/3,3,3,,"Fading 3 (This creature enters with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from this creature: This creature gets +1/+1 until end of turn.",,,,
Grip of Amnesia,,,1U,2.0,U,Instant,,,,,,"Counter target spell unless its controller exiles all cards from their graveyard.
Draw a card.",,,,
Enchantress's Presence,,,2G,3.0,G,Enchantment,,,,,,"Whenever you cast an enchantment spell, draw a card.",,,,
Legacy's Allure,,,UU,2.0,U,Enchantment,,,,,,"At the beginning of your upkeep, you may put a treasure counter on this enchantment.
Sacrifice this enchantment: Gain control of target creature with power less than or equal to the number of treasure counters on this enchantment. (This effect lasts indefinitely.)",,,,
Heightened Awareness,,,3UU,5.0,U,Enchantment,,,,,,"As this enchantment enters, discard your hand.
At the beginning of your draw step, draw an additional card.",,,,
Lady Sun,,,1UU,3.0,U,Legendary Creature — Human Advisor,,1/1,1,1,,"{T}: Return Lady Sun and another target creature to their owners' hands. Activate only during your turn, before attackers are declared.",,,,
Walking Desecration,,,2B,3.0,B,Creature — Zombie,,1/1,1,1,,"{B}, {T}: Creatures of the creature type of your choice attack this turn if able.",,,,
Insist,,,G,1.0,G,Sorcery,,,,,,"The next creature spell you cast this turn can't be countered.
Draw a card.",,,,
Riding Red Hare,,,2W,3.0,W,Sorcery,,,,,,Target creature gets +3/+3 and gains horsemanship until end of turn. (It can't be blocked except by creatures with horsemanship.),,,,
Veiled Serpent,,,2U,3.0,U,Enchantment,,,,,,"When an opponent casts a spell, if this permanent is an enchantment, it becomes a 4/4 Serpent creature with ""This creature can't attack unless defending player controls an Island.""
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Warrior Angel,,,4WW,6.0,W,Creature — Angel Warrior,,3/4,3,4,,"Flying
Whenever this creature deals damage, you gain that much life.",,,,
Reef Shaman,,,U,1.0,U,Creature — Merfolk Shaman,,0/2,0,2,,{T}: Target land becomes the basic land type of your choice until end of turn.,,,,
Skittish Valesk,,,6R,7.0,R,Creature — Beast,,5/5,5,5,,"At the beginning of your upkeep, flip a coin. If you lose the flip, turn this creature face down.
Morph {5}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Rank and File,,,2BB,4.0,B,Creature — Zombie,,3/3,3,3,,"When this creature enters, green creatures get -1/-1 until end of turn.",,,,
Dust to Dust,,,1WW,3.0,W,Sorcery,,,,,,Exile two target artifacts.,,,,
Phyrexian Vault,,,3,3.0,N,Artifact,,,,,,"{2}, {T}, Sacrifice a creature: Draw a card.",,,,
Horned Cheetah,,,2GW,4.0,Z,Creature — Cat,,2/2,2,2,,"Whenever this creature deals damage, you gain that much life.",,,,
Krosan Warchief,,,2G,3.0,G,Creature — Beast,,2/2,2,2,,"Beast spells you cast cost {1} less to cast.
{1}{G}: Regenerate target Beast.",,,,
Rummaging Wizard,,,3U,4.0,U,Creature — Human Wizard,,2/2,2,2,,{2}{U}: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.),,,,
Stinging Barrier,,,2UU,4.0,U,Creature — Wall,,0/4,0,4,,"Defender (This creature can't attack.)
{U}, {T}: This creature deals 1 damage to any target.",,,,
Simulacrum,,,1B,2.0,B,Instant,,,,,,You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.,,,,
Broken Dam,,,U,1.0,U,Sorcery,,,,,,Tap one or two target creatures without horsemanship.,,,,
Quicksilver Fountain,,,3,3.0,N,Artifact,,,,,,"At the beginning of each player's upkeep, that player puts a flood counter on target non-Island land they control of their choice. That land is an Island for as long as it has a flood counter on it.
At the beginning of each end step, if all lands on the battlefield are Islands, remove all flood counters from them.",,,,
Battlefield Medic,,,1W,2.0,W,Creature — Human Cleric,,1/1,1,1,,"{T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of Clerics on the battlefield.",,,,
Ghitu War Cry,,,2R,3.0,R,Enchantment,,,,,,{R}: Target creature gets +1/+0 until end of turn.,,,,
Glarecaster,,,4WW,6.0,W,Creature — Bird Cleric,,3/3,3,3,,"Flying
{5}{W}: The next time damage would be dealt to this creature and/or you this turn, that damage is dealt to any target instead.",,,,
Holistic Wisdom,,,1GG,3.0,G,Enchantment,,,,,,"{2}, Exile a card from your hand: Return target card from your graveyard to your hand if it shares a card type with the card exiled this way. (Artifact, battle, creature, enchantment, kindred, instant, land, planeswalker, and sorcery are card types.)",,,,
Crazed Firecat,,,5RR,7.0,R,Creature — Elemental Cat,,4/4,4,4,,"When this creature enters, flip a coin until you lose a flip. Put a +1/+1 counter on this creature for each flip you won.",,,,
Saproling Symbiosis,,,3G,4.0,G,Sorcery,,,,,,"You may cast this spell as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)
Create a 1/1 green Saproling creature token for each creature you control.",,,,
Wheel and Deal,,,3U,4.0,U,Instant,,,,,,"Any number of target opponents each discard their hands, then draw seven cards.
Draw a card.",,,,
Spike Rogue,,,1GG,3.0,G,Creature — Spike,,0/0,0,0,,"This creature enters with two +1/+1 counters on it.
{2}, Remove a +1/+1 counter from this creature: Put a +1/+1 counter on target creature.
{2}, Remove a +1/+1 counter from a creature you control: Put a +1/+1 counter on this creature.",,,,
Exile,,,2W,3.0,W,Instant,,,,,,Exile target nonwhite attacking creature. You gain life equal to its toughness.,,,,
Sluggishness,,,1R,2.0,R,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature can't block.
When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.",,,,
Personal Incarnation,,,3WWW,6.0,W,Creature — Avatar Incarnation,,6/6,6,6,,"{0}: The next 1 damage that would be dealt to this creature this turn is dealt to its owner instead. Only this creature's owner may activate this ability.
When this creature dies, its owner loses half their life, rounded up.",,,,
Killer Whale,,,3UU,5.0,U,Creature — Whale,,3/5,3,5,,{U}: This creature gains flying until end of turn.,,,,
Ruham Djinn,,,5W,6.0,W,Creature — Djinn,,5/5,5,5,,"First strike
This creature gets -2/-2 as long as white is the most common color among all permanents or is tied for most common.",,,,
Skirk Fire Marshal,,,3RR,5.0,R,Creature — Goblin,,2/2,2,2,,"Protection from red
Tap five untapped Goblins you control: This creature deals 10 damage to each creature and each player.",,,,
Gravespawn Sovereign,,,4BB,6.0,B,Creature — Zombie,,3/3,3,3,,Tap five untapped Zombies you control: Put target creature card from a graveyard onto the battlefield under your control.,,,,
Hollow Trees,,,,0.0,L,Land,,,,,,"This land enters tapped.
You may choose not to untap this land during your untap step.
At the beginning of your upkeep, if this land is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from this land: Add {G} for each storage counter removed this way.",,,,
Crystal Quarry,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{5}, {T}: Add {W}{U}{B}{R}{G}.",,,,
Ashen Firebeast,,,6RR,8.0,R,Creature — Elemental Beast,,6/6,6,6,,{1}{R}: This creature deals 1 damage to each creature without flying.,,,,
Mogg Conscripts,,,R,1.0,R,Creature — Goblin,,2/2,2,2,,This creature can't attack unless you've cast a creature spell this turn.,,,,
Expendable Troops,,,1W,2.0,W,Creature — Human Soldier,,2/1,2,1,,"{T}, Sacrifice this creature: It deals 2 damage to target attacking or blocking creature.",,,,
Council of Advisors,,,2U,3.0,U,Creature — Human Advisor,,1/1,1,1,,"When this creature enters, draw a card.",,,,
Blistering Firecat,,,1RRR,4.0,R,Creature — Elemental Cat,,7/1,7,1,,"Trample, haste
At the beginning of the end step, sacrifice this creature.
Morph {R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Savage Firecat,,,3RR,5.0,R,Creature — Elemental Cat,,0/0,0,0,,"Trample
This creature enters with seven +1/+1 counters on it.
Whenever you tap a land for mana, remove a +1/+1 counter from this creature.",,,,
Death Speakers,,,W,1.0,W,Creature — Human Cleric,,1/1,1,1,,Protection from black,,,,
Minotaur Tactician,,,3R,4.0,R,Creature — Minotaur,,1/1,1,1,,"Haste
This creature gets +1/+1 as long as you control a white creature.
This creature gets +1/+1 as long as you control a blue creature.",,,,
Mogg Squad,,,1R,2.0,R,Creature — Goblin,,3/3,3,3,,This creature gets -1/-1 for each other creature on the battlefield.,,,,
Psychic Vortex,,,2UU,4.0,U,Enchantment,,,,,,"Cumulative upkeep—Draw a card. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
At the beginning of your end step, sacrifice a land and discard your hand.",,,,
Hollow Specter,,,1BB,3.0,B,Creature — Specter,,2/2,2,2,,"Flying
Whenever this creature deals combat damage to a player, you may pay {X}. If you do, that player reveals X cards from their hand and you choose one of them. That player discards that card.",,,,
Capashen Standard,,,W,1.0,W,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +1/+1.
{2}, Sacrifice this Aura: Draw a card.",,,,
Ransack,,,3U,4.0,U,Sorcery,,,,,,Look at the top five cards of target player's library. Put any number of them on the bottom of that library in any order and the rest on top of the library in any order.,,,,
Mesmeric Fiend,,,1B,2.0,B,Creature — Nightmare Horror,,1/1,1,1,,"When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",,,,
Food Chain,,,2G,3.0,G,Enchantment,,,,,,"Exile a creature you control: Add X mana of any one color, where X is 1 plus the exiled creature's mana value. Spend this mana only to cast creature spells.",,,,
"Zhang Liao, Hero of Hefei",,,4BB,6.0,B,Legendary Creature — Human Soldier,,3/3,3,3,,"Whenever Zhang Liao deals damage to an opponent, that opponent discards a card.",,,,
Reviving Dose,,,2W,3.0,W,Instant,,,,,,"You gain 3 life.
Draw a card.",,,,
Drifting Djinn,,,4UU,6.0,U,Creature — Djinn,,5/5,5,5,,"Flying
At the beginning of your upkeep, sacrifice this creature unless you pay {1}{U}.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,
Goblin Legionnaire,,,RW,2.0,Z,Creature — Goblin Soldier,,2/2,2,2,,"{R}, Sacrifice this creature: It deals 2 damage to any target.
{W}, Sacrifice this creature: Prevent the next 2 damage that would be dealt to any target this turn.",,,,
Contested Cliffs,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{R}{G}, {T}: Target Beast creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)",,,,
Morality Shift,,,5BB,7.0,B,Sorcery,,,,,,Exchange your graveyard and library. Then shuffle your library.,,,,
Empty City Ruse,,,W,1.0,W,Sorcery,,,,,,Target opponent skips all combat phases of their next turn.,,,,
Wild Jhovall,,,3R,4.0,R,Creature — Cat,,3/3,3,3,,,,,,
Wings of Hope,,,WU,2.0,Z,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +1/+3 and has flying.",,,,
Slashing Tiger,,,2GG,4.0,G,Creature — Cat,,3/3,3,3,,"Whenever this creature becomes blocked, it gets +2/+2 until end of turn.",,,,
Duplicant,,,6,6.0,N,Artifact Creature — Shapeshifter,,2/4,2,4,,"Imprint — When this creature enters, you may exile target nontoken creature.
As long as a card exiled with this creature is a creature card, this creature has the power, toughness, and creature types of the last creature card exiled with it. It's still a Shapeshifter.",,,,
Cabal Inquisitor,,,1B,2.0,B,Creature — Human Minion,,1/1,1,1,,"Threshold — {1}{B}, {T}, Exile two cards from your graveyard: Target player discards a card. Activate only as a sorcery and only if seven or more cards are in your graveyard.",,,,
Dark Suspicions,,,2BB,4.0,B,Enchantment,,,,,,"At the beginning of each opponent's upkeep, that player loses X life, where X is the number of cards in that player's hand minus the number of cards in your hand.",,,,
